Var1,Var2,Var3,Var4
2018-04-16 18:10:05+08:00,0BxMzV,30.752549,103.934481
2018-04-16 18:10:05+08:00,0ELKwO,30.749194,103.936911
2018-04-16 18:10:05+08:00,0EMkbx,30.756211,103.929689
2018-04-16 18:10:05+08:00,0KMZ4V,30.751158,103.932988
2018-04-16 18:10:05+08:00,0lZM47,30.739565,103.930901
2018-04-16 18:10:05+08:00,0y8q2P,30.753371,103.933678
2018-04-16 18:10:05+08:00,0yQa0V,30.750652,103.924899
2018-04-16 18:10:05+08:00,26Z4V5,30.750838,103.931163
2018-04-16 18:10:05+08:00,26ZAvG,30.74765,103.935873
2018-04-16 18:10:05+08:00,2P85PG,30.752633,103.921767
2018-04-16 18:10:05+08:00,2lw546,30.749189,103.933044
2018-04-16 18:10:05+08:00,3G0QzE,30.751672,103.936338
2018-04-16 18:10:05+08:00,3GeJOD,30.75105,103.930652
2018-04-16 18:10:05+08:00,3JGOm,30.751948,103.92998
2018-04-16 18:10:05+08:00,3KqBNq,30.755015,103.93024
2018-04-16 18:10:05+08:00,3QRJzq,30.752185,103.924341
2018-04-16 18:10:05+08:00,3Xq0Gq,30.748564,103.923531
2018-04-16 18:10:05+08:00,3XyA2p,30.752269,103.923248
2018-04-16 18:10:05+08:00,3lEXz7,30.750907,103.938035
2018-04-16 18:10:05+08:00,3pQQ2p,30.754997,103.928108
2018-04-16 18:10:05+08:00,3xKvrD,30.741672,103.928451
2018-04-16 18:10:05+08:00,3xdOoE,30.752297,103.93419
2018-04-16 18:10:05+08:00,4BDdD3,30.754103,103.930652
2018-04-16 18:10:05+08:00,4NkBNk,30.752165,103.933047
2018-04-16 18:10:05+08:00,4VByvK,30.749014,103.934847
2018-04-16 18:10:05+08:00,4VQDpB,30.759592,103.918682
2018-04-16 18:10:05+08:00,4XpNkB,30.751463,103.922773
2018-04-16 18:10:06+08:00,4rZD8B,30.736223,103.932294
2018-04-16 18:10:05+08:00,4wb7wZ,30.741636,103.9203
2018-04-16 18:10:05+08:00,4wgGrK,30.756411,103.929491
2018-04-16 18:10:05+08:00,55o2zl,30.752046,103.93377
2018-04-16 18:10:05+08:00,567Jp0,30.756733,103.93142
2018-04-16 18:10:05+08:00,57QE3R,30.744926,103.932164
2018-04-16 18:10:05+08:00,5mmRrR,30.74073,103.929021
2018-04-16 18:10:05+08:00,5nQZke,30.750681,103.931951
2018-04-16 18:10:05+08:00,5naqDl,30.75,103.936704
2018-04-16 18:10:05+08:00,5ryOkP,30.750154,103.929674
2018-04-16 18:10:05+08:00,5w56E6,30.754125,103.931399
2018-04-16 18:10:05+08:00,6MGrmX,30.743324,103.930611
2018-04-16 18:10:05+08:00,6PGkMZ,30.755206,103.92985
2018-04-16 18:10:05+08:00,72MKxg,30.748029,103.938575
2018-04-16 18:10:05+08:00,77gdqJ,30.754717,103.930163
2018-04-16 18:10:05+08:00,7MRbkL,30.748106,103.933346
2018-04-16 18:10:05+08:00,7MxQoJ,30.744087,103.929207
2018-04-16 18:10:05+08:00,7NmbB8,30.744025,103.924585
2018-04-16 18:10:05+08:00,7P64Mq,30.752394,103.934121
2018-04-16 18:10:05+08:00,7PNOKb,30.756264,103.929865
2018-04-16 18:10:05+08:00,7PPkoP,30.753872,103.930782
2018-04-16 18:10:05+08:00,7PYqz8,30.75414,103.931255
2018-04-16 18:10:05+08:00,7Px05R,30.745925,103.928122
2018-04-16 18:10:05+08:00,7YNYEL,30.746862,103.934106
2018-04-16 18:10:05+08:00,7a8ezJ,30.752309,103.934152
2018-04-16 18:10:05+08:00,7aDD2d,30.752306,103.924097
2018-04-16 18:10:05+08:00,7lpP4g,30.752412,103.934022
2018-04-16 18:10:05+08:00,86gzJl,30.74155,103.929127
2018-04-16 18:10:05+08:00,8DrLJ2,30.742867,103.930094
2018-04-16 18:10:05+08:00,8ZEq6l,30.750772,103.93539
2018-04-16 18:10:05+08:00,8aG8EK,30.755359,103.932493
2018-04-16 18:10:05+08:00,8lrAny,30.754894,103.931202
2018-04-16 18:10:05+08:00,AL36Je,30.74581,103.928642
2018-04-16 18:10:05+08:00,ALo8n4,30.753205,103.93087
2018-04-16 18:10:05+08:00,APRv7O,30.753966,103.930766
2018-04-16 18:10:05+08:00,AVVLKr,30.748912,103.92312
2018-04-16 18:10:06+08:00,AVepLO,30.738161,103.922813
2018-04-16 18:10:05+08:00,BP0RAO,30.755945,103.93244
2018-04-16 18:10:05+08:00,BP3xAp,30.755933,103.932455
2018-04-16 18:10:05+08:00,BPlxgq,30.756254,103.93001
2018-04-16 18:10:05+08:00,BwRQ4J,30.750158,103.919781
2018-04-16 18:10:05+08:00,BwRmlp,30.744075,103.928963
2018-04-16 18:10:05+08:00,Bwqodn,30.740327,103.927274
2018-04-16 18:10:05+08:00,D2k8Oo,30.752362,103.934091
2018-04-16 18:10:05+08:00,D5KLOB,30.740418,103.927839
2018-04-16 18:10:04+08:00,D5dmmR,30.759198,103.933953
2018-04-16 18:10:05+08:00,DNg5ko,30.746394,103.935118
2018-04-16 18:10:05+08:00,DOLGd7,30.754537,103.938573
2018-04-16 18:10:05+08:00,DOnww4,30.755513,103.933766
2018-04-16 18:10:05+08:00,Dp8xQx,30.753213,103.933762
2018-04-16 18:10:05+08:00,DpJ7Zb,30.746616,103.926739
2018-04-16 18:10:05+08:00,Dx3aXb,30.755427,103.9183
2018-04-16 18:10:05+08:00,E5NMzM,30.750577,103.921374
2018-04-16 18:10:05+08:00,E6J3yb,30.752386,103.933815
2018-04-16 18:10:05+08:00,E6gRn0,30.74419,103.929903
2018-04-16 18:10:05+08:00,E6z6B5,30.756167,103.929445
2018-04-16 18:10:05+08:00,ELv4B5,30.753703,103.930912
2018-04-16 18:10:05+08:00,EM7L3q,30.754713,103.93011
2018-04-16 18:10:05+08:00,EMP4v2,30.743301,103.924425
2018-04-16 18:10:05+08:00,EMpYG8,30.746569,103.92664
2018-04-16 18:10:05+08:00,EON5E0,30.739442,103.926855
2018-04-16 18:10:05+08:00,G3KYkn,30.74005,103.92716
2018-04-16 18:10:06+08:00,G5LRM6,30.737073,103.928833
2018-04-16 18:10:05+08:00,GV0xe6,30.757464,103.918361
2018-04-16 18:10:05+08:00,GV5KxJ,30.753856,103.931011
2018-04-16 18:10:05+08:00,GVA2oa,30.746449,103.92674
2018-04-16 18:10:05+08:00,GbeOqX,30.753729,103.930048
2018-04-16 18:10:05+08:00,GmlvYq,30.753928,103.930798
2018-04-16 18:10:05+08:00,GmqG2X,30.756201,103.930912
2018-04-16 18:10:05+08:00,GmrLMa,30.750814,103.931286
2018-04-16 18:10:05+08:00,JVLexL,30.750285,103.937603
2018-04-16 18:10:05+08:00,JpVlOP,30.750864,103.932822
2018-04-16 18:10:05+08:00,JpZKgP,30.746216,103.933586
2018-04-16 18:10:05+08:00,JqP784,30.753477,103.932838
2018-04-16 18:10:05+08:00,JqgDAY,30.742951,103.928841
2018-04-16 18:10:05+08:00,K5PmNq,30.75238,103.940122
2018-04-16 18:10:05+08:00,KB2zEV,30.754999,103.92959
2018-04-16 18:10:05+08:00,KBDQxm,30.752318,103.934167
2018-04-16 18:10:05+08:00,KBdByA,30.75098,103.932899
2018-04-16 18:10:05+08:00,KK44By,30.755707,103.933754
2018-04-16 18:10:06+08:00,KV5AaN,30.737038,103.934151
2018-04-16 18:10:05+08:00,KgREq,30.751822,103.933227
2018-04-16 18:10:05+08:00,KzZeeN,30.759182,103.930215
2018-04-16 18:10:06+08:00,L3v3qk,30.735752,103.93117
2018-04-16 18:10:05+08:00,LvDxgb,30.747394,103.918353
2018-04-16 18:10:05+08:00,LvRzVN,30.751328,103.930331
2018-04-16 18:10:05+08:00,LzXDeK,30.754799,103.930094
2018-04-16 18:10:05+08:00,M3mD7d,30.755908,103.934512
2018-04-16 18:10:05+08:00,M7JJJ8,30.754863,103.93474
2018-04-16 18:10:05+08:00,MBVzKe,30.754929,103.92975
2018-04-16 18:10:05+08:00,MEqqyK,30.750109,103.932073
2018-04-16 18:10:05+08:00,MawaZd,30.741937,103.928391
2018-04-16 18:10:05+08:00,Mdpdmx,30.748994,103.920739
2018-04-16 18:10:05+08:00,MeaaBz,30.749695,103.936536
2018-04-16 18:10:05+08:00,MrYxe,30.750384,103.936162
2018-04-16 18:10:05+08:00,MwOkwe,30.742182,103.927608
2018-04-16 18:10:05+08:00,MwoV7z,30.738297,103.927778
2018-04-16 18:10:05+08:00,Mwrqxz,30.754733,103.93096
2018-04-16 18:10:05+08:00,N56eRA,30.749314,103.932302
2018-04-16 18:10:05+08:00,N5M77G,30.748117,103.933594
2018-04-16 18:10:05+08:00,N5eQZ3,30.739565,103.930063
2018-04-16 18:10:05+08:00,NaXg63,30.750852,103.9314
2018-04-16 18:10:05+08:00,NlLKxn,30.756253,103.929964
