Var1,Var2,Var3,Var4
2018-04-16 19:30:06+08:00,0EMkbx,30.751824,103.926381
2018-04-16 19:30:06+08:00,0KMZ4V,30.751158,103.932988
2018-04-16 19:30:06+08:00,0lZM47,30.739565,103.930901
2018-04-16 19:30:06+08:00,0yQa0V,30.750842,103.930697
2018-04-16 19:30:06+08:00,2dz3m4,30.749017,103.931615
2018-04-16 19:30:06+08:00,2lw546,30.749189,103.933044
2018-04-16 19:30:06+08:00,3GDBrp,30.74495,103.932455
2018-04-16 19:30:06+08:00,3GDq3m,30.750763,103.93189
2018-04-16 19:30:06+08:00,3JGOm,30.751948,103.92998
2018-04-16 19:30:06+08:00,3Kqo6L,30.747284,103.926137
2018-04-16 19:30:06+08:00,3Xq0Gq,30.748564,103.923531
2018-04-16 19:30:06+08:00,3XyA2p,30.752269,103.923248
2018-04-16 19:30:06+08:00,3lEXz7,30.750907,103.938035
2018-04-16 19:30:05+08:00,3pQQ2p,30.754997,103.928108
2018-04-16 19:30:06+08:00,3xKvrD,30.750711,103.925204
2018-04-16 19:30:06+08:00,3xdOoE,30.752297,103.93419
2018-04-16 19:30:05+08:00,3xgxXD,30.753933,103.930782
2018-04-16 19:30:06+08:00,4GYKAZ,30.746368,103.926686
2018-04-16 19:30:06+08:00,4NkBNk,30.755107,103.926097
2018-04-16 19:30:06+08:00,4NkZ8B,30.741864,103.928339
2018-04-16 19:30:06+08:00,4VByvK,30.749014,103.934847
2018-04-16 19:30:06+08:00,4VQDpB,30.759592,103.918682
2018-04-16 19:30:06+08:00,4XpNkB,30.751463,103.922773
2018-04-16 19:30:07+08:00,4rZD8B,30.736223,103.932294
2018-04-16 19:30:06+08:00,55o2zl,30.752046,103.93377
2018-04-16 19:30:06+08:00,5mmRrR,30.74073,103.929021
2018-04-16 19:30:06+08:00,5naqDl,30.751958,103.926178
2018-04-16 19:30:06+08:00,5w56E6,30.750715,103.925172
2018-04-16 19:30:06+08:00,5wNVo6,30.759182,103.930215
2018-04-16 19:30:05+08:00,646dmX,30.754199,103.927002
2018-04-16 19:30:06+08:00,64zXgD,30.748331,103.938312
2018-04-16 19:30:06+08:00,6MGrmX,30.743324,103.930611
2018-04-16 19:30:06+08:00,72MKxg,30.748029,103.938575
2018-04-16 19:30:06+08:00,7MRbkL,30.748106,103.933346
2018-04-16 19:30:06+08:00,7MxQoJ,30.744087,103.929207
2018-04-16 19:30:06+08:00,7Nya8d,30.750133,103.929559
2018-04-16 19:30:06+08:00,7PVJKR,30.7519,103.926381
2018-04-16 19:30:06+08:00,7PYqz8,30.751852,103.926411
2018-04-16 19:30:06+08:00,7Px05R,30.744806,103.930499
2018-04-16 19:30:06+08:00,7YNYEL,30.746862,103.934106
2018-04-16 19:30:06+08:00,7a8ezJ,30.752309,103.934152
2018-04-16 19:30:06+08:00,7aDD2d,30.748372,103.932181
2018-04-16 19:30:06+08:00,8DrLJ2,30.742867,103.930094
2018-04-16 19:30:06+08:00,8aG8EK,30.748735,103.931836
2018-04-16 19:30:06+08:00,A7VnG2,30.751493,103.916293
2018-04-16 19:30:06+08:00,A7xgp4,30.752029,103.918264
2018-04-16 19:30:05+08:00,AVVLKr,30.748912,103.92312
2018-04-16 19:30:06+08:00,AVepLO,30.738161,103.922813
2018-04-16 19:30:06+08:00,BP0RAO,30.742125,103.929231
2018-04-16 19:30:06+08:00,BPlxgq,30.751593,103.924426
2018-04-16 19:30:05+08:00,BPv2El,30.757177,103.930179
2018-04-16 19:30:06+08:00,BwRmlp,30.744075,103.928963
2018-04-16 19:30:06+08:00,Bwqodn,30.740327,103.927274
2018-04-16 19:30:06+08:00,Bxwell,30.739578,103.930078
2018-04-16 19:30:06+08:00,D2k8Oo,30.751503,103.933571
2018-04-16 19:30:06+08:00,D5dmmR,30.750486,103.921306
2018-04-16 19:30:06+08:00,D75p7Y,30.751502,103.931321
2018-04-16 19:30:06+08:00,DNg5ko,30.746394,103.935118
2018-04-16 19:30:06+08:00,DOLGd7,30.75454,103.93857
2018-04-16 19:30:06+08:00,DOnww4,30.745771,103.928265
2018-04-16 19:30:06+08:00,Dp7G74,30.751814,103.926038
2018-04-16 19:30:06+08:00,Dp8xQx,30.750849,103.93189
2018-04-16 19:30:06+08:00,E5NMzM,30.750577,103.921374
2018-04-16 19:30:05+08:00,E6z6B5,30.756342,103.929735
2018-04-16 19:30:05+08:00,EDykrn,30.755663,103.934022
2018-04-16 19:30:05+08:00,ELv4B5,30.753703,103.930912
2018-04-16 19:30:06+08:00,EM7L3q,30.749187,103.924784
2018-04-16 19:30:06+08:00,EMP4v2,30.751579,103.921294
2018-04-16 19:30:06+08:00,EON5E0,30.739509,103.926868
2018-04-16 19:30:05+08:00,Exd2E8,30.754681,103.926946
2018-04-16 19:30:07+08:00,G5LRM6,30.737073,103.928833
2018-04-16 19:30:06+08:00,GV5KxJ,30.747778,103.931332
2018-04-16 19:30:06+08:00,GVzbax,30.751871,103.926266
2018-04-16 19:30:05+08:00,GbeOqX,30.753729,103.930048
2018-04-16 19:30:06+08:00,GgEoDV,30.745568,103.928267
2018-04-16 19:30:06+08:00,GmlvYq,30.752381,103.935573
2018-04-16 19:30:05+08:00,GmqG2X,30.754153,103.930667
2018-04-16 19:30:06+08:00,JVLexL,30.751907,103.933731
2018-04-16 19:30:06+08:00,JpVlOP,30.750864,103.932822
2018-04-16 19:30:06+08:00,JpZKgP,30.746216,103.933586
2018-04-16 19:30:06+08:00,JqP784,30.751871,103.925518
2018-04-16 19:30:06+08:00,JqgDAY,30.752533,103.930828
2018-04-16 19:30:06+08:00,K5PmNq,30.75238,103.940122
