Var1,Var2,Var3,Var4
2018-04-16 14:30:06+08:00,0BxMzV,30.752534,103.934076
2018-04-16 14:30:06+08:00,0EMkbx,30.755304,103.929101
2018-04-16 14:30:05+08:00,0KMZ4V,30.749206,103.917437
2018-04-16 14:30:06+08:00,0lZM47,30.739565,103.930901
2018-04-16 14:30:06+08:00,0lzVor,30.740449,103.927213
2018-04-16 14:30:06+08:00,0nV6oL,30.747185,103.926178
2018-04-16 14:30:06+08:00,0y8q2P,30.75181,103.925876
2018-04-16 14:30:06+08:00,0yPEXl,30.750556,103.937821
2018-04-16 14:30:06+08:00,0yaZ8V,30.748286,103.929865
2018-04-16 14:30:05+08:00,25LPxR,30.755682,103.93385
2018-04-16 14:30:06+08:00,25MZGZ,30.751431,103.932529
2018-04-16 14:30:06+08:00,25OYX4,30.751537,103.926121
2018-04-16 14:30:05+08:00,27ZL6G,30.754362,103.931347
2018-04-16 14:30:05+08:00,2AwoP6,30.744068,103.921331
2018-04-16 14:30:06+08:00,3G0ZMp,30.752184,103.923998
2018-04-16 14:30:06+08:00,3GDBrp,30.751604,103.934022
2018-04-16 14:30:06+08:00,3GepPq,30.743857,103.927389
2018-04-16 14:30:06+08:00,3JGOm,30.751948,103.92998
2018-04-16 14:30:05+08:00,3K5k4g,30.755846,103.934076
2018-04-16 14:30:06+08:00,3Kqo6L,30.752289,103.934236
2018-04-16 14:30:06+08:00,3Qa5ol,30.753962,103.930813
2018-04-16 14:30:06+08:00,3Qb56L,30.754849,103.930063
2018-04-16 14:30:06+08:00,3Xq0Gq,30.748564,103.923531
2018-04-16 14:30:06+08:00,3nY2Rm,30.757348,103.927149
2018-04-16 14:30:06+08:00,3xKbag,30.757973,103.920691
2018-04-16 14:30:06+08:00,3xg7M7,30.755941,103.928398
2018-04-16 14:30:05+08:00,3xgxXD,30.755541,103.933731
2018-04-16 14:30:06+08:00,4523ZM,30.753824,103.93089
2018-04-16 14:30:06+08:00,4NkKDK,30.755108,103.925956
2018-04-16 14:30:06+08:00,4VByvK,30.749014,103.934847
2018-04-16 14:30:06+08:00,4XpNkB,30.738853,103.9276
2018-04-16 14:30:05+08:00,4w4eEM,30.755577,103.933487
2018-04-16 14:30:06+08:00,52N4xK,30.742362,103.928669
2018-04-16 14:30:06+08:00,55o2zl,30.752046,103.93377
2018-04-16 14:30:06+08:00,57lOV7,30.748728,103.932554
2018-04-16 14:30:06+08:00,5ZzdzM,30.751433,103.932929
2018-04-16 14:30:06+08:00,5mmRrR,30.74073,103.929021
2018-04-16 14:30:06+08:00,5naqDl,30.752308,103.93426
2018-04-16 14:30:06+08:00,5nkAXM,30.745498,103.928451
2018-04-16 14:30:06+08:00,5r6nad,30.749684,103.93205
2018-04-16 14:30:05+08:00,5wJDEK,30.755797,103.933939
2018-04-16 14:30:06+08:00,5wNVo6,30.753855,103.931023
2018-04-16 14:30:06+08:00,5wklRd,30.742792,103.938672
2018-04-16 14:30:06+08:00,64p0LZ,30.751023,103.92496
2018-04-16 14:30:05+08:00,64pvVX,30.750525,103.921257
2018-04-16 14:30:06+08:00,67LAPZ,30.752146,103.924013
2018-04-16 14:30:06+08:00,6MGrmX,30.743324,103.930611
2018-04-16 14:30:06+08:00,6NB506,30.749111,103.931989
2018-04-16 14:30:06+08:00,6NqG2g,30.751841,103.931707
2018-04-16 14:30:06+08:00,6PGkMZ,30.750982,103.930943
2018-04-16 14:30:06+08:00,7MYYNb,30.750383,103.935971
2018-04-16 14:30:06+08:00,7NmbB8,30.754641,103.927046
2018-04-16 14:30:06+08:00,7PDGz,30.749027,103.924784
2018-04-16 14:30:05+08:00,7PEwOR,30.755633,103.93443
2018-04-16 14:30:06+08:00,7PNa4q,30.749158,103.931859
2018-04-16 14:30:05+08:00,7PwPNd,30.747125,103.925747
2018-04-16 14:30:06+08:00,7YNYEL,30.746862,103.934106
2018-04-16 14:30:06+08:00,7a8ezJ,30.746595,103.926724
2018-04-16 14:30:06+08:00,8D5xne,30.754628,103.926414
2018-04-16 14:30:06+08:00,8ZEq6l,30.750772,103.93539
2018-04-16 14:30:06+08:00,8aOdMK,30.754092,103.930636
2018-04-16 14:30:06+08:00,8aYyXk,30.752659,103.930897
